"year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70"
1980,0.00136300568196086,0.000395890984084958,0.00261603433627602,0.0484407967878641,0.0162893598052652,0.00984876028667728,0.00409011251931699,0.0080504899911773,0.0562579341219505,0.00346333669182623,0.0148314415599777,0.0567044654546423,0.00320869091140112,0.0664708078663136,0.0015368128853384,0.00210713491123804,0.00217529084314922,0.00984540065574351,0.00559788368218504,0.0119360471988813,0.015701352403637,0.0288762433355302,0.0554186269152479,0.00426791137900559,0.0416194077242125,0.000651495063635599,0.00283286976742754,0.00775194943140814,0.0159444756965947,0.0687763837214175,0.000879273446856095,0.00164126693116399,0.00447167280711028,0.00341120873445652,0.00826121510360838,0.00244650629146164,0.00692961979807909,0.00273398332259167,0.0139840508478938,0.0163455871697244,0.0160976096249381,0.00766187279076482,0.00529664487479803,0.0356038674049727,0.00786529541915499,0.0267640820923653,0.00528808602058894,0.00623800574318522,0.00547104748814618,0.0570443141881199,0.0169788011913059,0.000936882202086934,0.00355649501993155,0.00780377702055145,0.00516827400981802,0.000363781687291922,0.0401360901466421,0.000641928533611464,0.0174099056022146,0.0118051649925789,0.0181442404507656,0.00735932558018872,0.0143753778546899,0.00312996212708879,0.00206046304654671,0.00733610553133031,0.0075162728452031,0.00711675962911746,0.0246338851544331,0.00202088466123677
1981,0.00167347032113981,0.000357432682028592,0.00551237250436181,0.0637918539365013,0.104318242500336,0.00825069652989399,0.00728526061961276,0.00608892738105541,0.0709659525556405,0.00488316201650419,0.0100666945283838,0.0780262220286766,0.0024576086008155,0.0476197872458754,0.00142206940405205,0.00755671314468388,0.00579262009704498,0.0142093538479482,0.00832922273840475,0.00887185894963931,0.0120763020882368,0.0278948390318982,0.0101285543267544,0.00457809135447871,0.0333932565764683,0.000528731248385274,0.00230619186630631,0.0103285141030287,0.0170604916362933,0.059949265271344,0.00420563767354713,0.00435458454733031,0.00347468137624076,0.00730749972015673,0.00910368724842319,0.00244847023415648,0.0123388728241289,0.00391771288688453,0.00749625873464231,0.016648859272339,0.00858621423164451,0.00659970334619569,0.00331337297741221,0.0344416596152369,0.0149202540432072,0.0208217513608934,0.00080598685960032,0.00336993428194092,0.00420307514895758,0.0557457625415876,0.0136079205658231,0.00410002354082258,0.00300000859052264,0.00513381513412463,0.00353233118147849,0.000358396129182232,0.0209702841666515,0.000886478304280542,0.00727896867725762,0.00722999683826255,0.00381182112987665,0.00412678862868702,0.00950946562937671,0.00372862205419758,0.00165312582012418,0.00539611800073207,0.0072415308498749,0.0058381236540275,0.0310350606864245,0.00173338235795504
1982,0.00182406560721107,0.000370809479448054,0.0215649559391701,0.061550014813665,0.0124233955648708,0.00684688808529674,0.00742128484351669,0.0101914604780457,0.0389235830539773,0.00230162546006526,0.0193314846951863,0.0532434329167976,0.00326550102839523,0.0544204571170811,0.00153340478498706,0.00563455767373599,0.00232715912388327,0.0137456786553365,0.0166792868865631,0.00912740219554327,0.0125103480806923,0.0211248329323086,0.00893745750390462,0.00525944245598646,0.0535398293813021,0.000589088560161091,0.00158564983094615,0.00728863424294325,0.025100522359253,0.0446929673527925,0.0018942762606883,0.00281031060614537,0.000783671924589973,0.00504194446309308,0.0198528668444226,0.00183500657232729,0.0126191710163402,0.00270709953520688,0.0103855534035052,0.0210662502650162,0.0105750141594916,0.00173779078384358,0.0012231654387003,0.0555456098765706,0.0185033744975988,0.0433843706647695,0.00077518726785809,0.00776253563403651,0.00604180692074324,0.0377474362892331,0.0580613780307004,0.00689519989464246,0.00188055504458948,0.00280263367275416,0.00335099672363799,0.000464159433482884,0.0211832860436465,0.000962979450130838,0.0224458535635565,0.00811284424919044,0.00616366074515574,0.0027802049356317,0.0186476154342413,0.00212624740896822,0.00126474215991823,0.00629160524282473,0.0113270141553482,0.0159658664552469,0.0220022157135405,0.00162327811554652
1983,0.00192119914207221,0.000434528240714468,0.0562686684547956,0.0548764181204154,0.0196912495045494,0.0105588688599262,0.00209862541301139,0.00744495109996701,0.0641865358482096,0.00249266305437021,0.00621791551532537,0.0549853839663146,0.00300639536787832,0.0491819171455016,0.00356865151334696,0.00309686563033134,0.00762287059268898,0.00409347297448225,0.0369813735958167,0.00706187207021783,0.0127551272127765,0.0205643162491601,0.0182182149917029,0.0144122508147493,0.031062198590113,0.000203745769638242,0.0010731922063652,0.0147559207024285,0.0272888453116878,0.017306916238495,0.00203008459714289,0.00217451878849028,0.00114339035249839,0.00441742431912348,0.0566470295357111,0.00228288470320443,0.00726271140775257,0.00294066457749047,0.0133284711976308,0.0112208580137183,0.0126706045515922,0.00314187691004822,0.00149678720470902,0.0184380786814122,0.0107011746301819,0.022270379623669,0.00210467255388172,0.00407816645254617,0.0078019791867674,0.0727146974222366,0.0565294826465629,0.00802531001481529,0.0015789889678985,0.00351500029373183,0.00340456714406382,0.000293759094848966,0.0167662982403452,0.00153355979410908,0.00450257481896539,0.00357672191403762,0.00224679712591073,0.00302113774110336,0.0156435667083594,0.00280477802566549,0.00151078015842189,0.003508090950218,0.0186492050591691,0.00413628450221496,0.0348670379220121,0.00158844997068713
1984,0.00150590431529517,0.000386008375995172,0.0260404289564094,0.0386283551488694,0.00908965302949163,0.0103966854783097,0.00985156181985567,0.0451341427987924,0.152261984134773,0.00267013150367511,0.00989281440950511,0.0236550903659863,0.00163557070932243,0.0499374434525915,0.0030035124137582,0.0014504269646855,0.00493701997163428,0.00646107263196137,0.0274976409538744,0.00464430494397762,0.00864385252842822,0.0173577608011406,0.00559650276217452,0.00282712992121664,0.0164122911036934,0.000533355126410431,0.00175053471394528,0.00617269064568215,0.0186137616811365,0.0354185749491593,0.00711023309644455,0.00521853237278755,0.00214097086828751,0.00477565174262047,0.102334860361491,0.00467911639606459,0.00262822685728409,0.00653244191468622,0.0077332532121034,0.0160496552847566,0.0201432235236777,0.00211691375965665,0.0025848844371939,0.0258943891121328,0.00653273502894241,0.0455202349809834,0.000755981911876352,0.00443449283044537,0.00373810873086782,0.0277873780329239,0.0175311211775778,0.00779486658065263,0.00586674618741715,0.00619642117511104,0.001676287808438,0.000408116033478799,0.0175778117902376,0.000851396558036193,0.00319851543315402,0.00421785247414733,0.00134551103618458,0.0040266737944712,0.0169527154971021,0.00218529915153644,0.00169271891508356,0.0109989393265724,0.00813531658515284,0.00512236803024114,0.0417306882748285,0.00137314310360025
1985,0.00154542517631096,0.000529377364814555,0.0328304764118511,0.0275673266149801,0.0109171884341382,0.0109572271856035,0.00236030945114357,0.0743779273316105,0.0948649338382385,0.00299229170183209,0.00688979545693531,0.016930024337356,0.00159957225774192,0.0318162900933824,0.00120440609135696,0.00638195643388106,0.00228481276482446,0.00349078771672669,0.0221803408140055,0.00724311706945438,0.00885720434802128,0.0210301072365744,0.00942058726637217,0.0066776876036565,0.0159921881498043,0.000179963882404947,0.00315064681880314,0.00892742058008176,0.0209430224052047,0.00918840787819894,0.00678026965000288,0.00231844511639533,0.00816461668958226,0.0047308879204708,0.207016197750489,0.00189971696846394,0.00423208925194181,0.00295351001223995,0.0124203269114933,0.00867114361405485,0.00418609489200315,0.0112027838824816,0.00211078876417853,0.00394099654771788,0.0087927818713463,0.0306351180114924,0.00191002780299222,0.00410349010398892,0.00727533744596995,0.0359513256329802,0.02048074959249,0.00745828480927894,0.000748634777601731,0.00407558838069507,0.00233736389791286,0.000606390708195253,0.028021381387949,0.0040272871049341,0.00804079627590539,0.00138779120358986,0.00181567983561151,0.00169088577139394,0.00933512920049372,0.00291188863827799,0.00216760030617332,0.00399677848000344,0.0109463197186045,0.0156979309259302,0.0398032037144219,0.00182354371494194
1986,0.00100093196837353,0.000317076279128861,0.00292641637658781,0.0806355291060385,0.0108544389666704,0.00534915195411133,0.0143913885830077,0.044167291590518,0.0749784451202655,0.00241140404067677,0.0140660309663363,0.104525706722223,0.00133903576741035,0.0469418266415205,0.00586854573600599,0.00386003245757257,0.00223727714633922,0.00598167566129912,0.0017689003109669,0.00314196128074958,0.0102904191441032,0.041667177101622,0.0212690114086706,0.0223927357472165,0.0242741681511608,0.000699320498678358,0.00168064526326449,0.00408789961625812,0.0188814259538841,0.0238763575339767,0.00684345820203545,0.00112695003295048,0.00503917163034034,0.00713465563951979,0.0119006039813106,0.0015762333156673,0.00979871143996499,0.00263769762847196,0.0102577157907184,0.0133290257270431,0.00702548274057374,0.0120812316290406,0.00407569335808253,0.0477694275042667,0.0118191784355627,0.0203140543273886,0.00040388641206493,0.00493987723273564,0.00614664630815726,0.0424894685728799,0.0131452455281671,0.0101749288163402,0.00357447123192581,0.00693720555135732,0.00614248997097161,0.000782120632661265,0.0343112878632671,0.00257758016670401,0.00335359039186602,0.0027592778467697,0.00299138317835649,0.00336792878483969,0.0342235311873073,0.00283349025162332,0.00245500025223905,0.0079837370597661,0.0064891278429284,0.00600145517062201,0.0258849398324446,0.00141981143643132
1987,0.00182386465196659,0.000390093602863581,0.00740552868522677,0.0457368237271751,0.0107699525369509,0.0163004556127031,0.00741540088451914,0.143475802124182,0.0806393277596322,0.00228031283970996,0.00638540043411492,0.0131939527212947,0.00204630089217966,0.0437007667313159,0.00125774422868311,0.00988838372392436,0.00427416229517918,0.0151028134454101,0.0151773852135687,0.00179651494763893,0.0074678844842359,0.0198155140933503,0.0341317654529148,0.0354754165083495,0.0181949454747892,0.000523794566368688,0.00503284411872315,0.00968619869747567,0.0332008711072107,0.047529216627134,0.00476821205619537,0.0074374016200508,0.00565999404961753,0.0110407194012529,0.0415004801885033,0.0112343067434578,0.00464473059896745,0.00158130750430513,0.00635667621166392,0.00936629789397294,0.00828272655381116,0.00650494631088599,0.00618097517332534,0.0205634383546187,0.00891757444324996,0.0208521473623972,0.000997090578579297,0.0061584709640532,0.0155984874999683,0.0172574110830555,0.0129389514241652,0.00388654539009947,0.00273228295135209,0.00196725732174494,0.00624595824797008,0.00107540879287369,0.016109507906872,0.00117210503364206,0.00327515512208694,0.00371845679366906,0.00375953579012674,0.00479636379827103,0.0202367390721024,0.002265967021585,0.00167138408157469,0.00748148878208005,0.00873566066481596,0.00987802872012516,0.0313177463367591,0.00171262396736146
1988,0.00130503272853284,0.000389596830762368,0.0449731191624161,0.0200340008704562,0.00782448461428581,0.0483253223006503,0.000977564928615222,0.0259668908917076,0.0913423629186158,0.00129429236976169,0.00806807162109697,0.0142177472851757,0.00235590716922572,0.0298620703752636,0.00166909640723393,0.0113520934671639,0.00895069069587288,0.00369249180504472,0.0153217649973634,0.00455697764984207,0.00803254203752117,0.0120208838024134,0.00944650557375515,0.0240541362531435,0.0104732261474321,0.000220102429554526,0.00105690887009514,0.015061207252238,0.0295467012428859,0.0332307967656871,0.00983527621220327,0.0045884565939864,0.00727558371715991,0.00485329407052592,0.227445500896589,0.00189818735887489,0.00710835530581946,0.00311442560243869,0.00750941902014055,0.0113042109318397,0.0100762155019459,0.00372268555354146,0.00364952482857753,0.014855755466,0.0113262321723201,0.0176340837920636,0.0068223965106445,0.00336836303887598,0.0090422741567275,0.00786709654345109,0.00874076023003532,0.00645279583805049,0.00119575781579901,0.00189636895945077,0.00481782534550932,0.000272187323570801,0.024683437647488,0.00227714039728992,0.0070119828942909,0.000742311699840275,0.000907973106987448,0.00142963225909892,0.00963577145738529,0.00213808064408781,0.00346932534852563,0.00118165477946531,0.00931262450657032,0.0128052030110225,0.0404698506997109,0.00163938929828291
1989,0.00166127829841854,0.000374309105594359,0.00893553670477619,0.0266433324349159,0.0122814231788277,0.0973408495121954,0.00851274706767467,0.0553929210155888,0.102536686593172,0.00635955336502993,0.0136784897818059,0.0430560592207619,0.0022530647177239,0.0446088140536262,0.00291677909826154,0.0133354431732323,0.00716646940563561,0.00363351030281517,0.0149214791779447,0.00479216183004855,0.0107556607012768,0.0285496846916988,0.00344747434327522,0.0151405015052829,0.0155155005396395,0.000713416898926078,0.00312242499593879,0.0136413576770554,0.0253306012720394,0.0130620074929807,0.0121879988212738,0.003314020763036,0.00647500541056958,0.0143908821568693,0.0317940280790359,0.00953447706118099,0.0208988191085103,0.00360249625507821,0.00733222966602328,0.0182732518377728,0.0113445036756331,0.0112410782767769,0.00359681687738711,0.0102624289121815,0.0199229573118702,0.0246861416777202,0.00776568033875508,0.00565785085158752,0.00917159391542719,0.0295390049077649,0.0185386569527574,0.00197532608320042,0.0027743870779819,0.00287257891195922,0.00378408068717183,0.000846781270184594,0.0166515310318756,0.00269221758652061,0.00834194594757424,0.00233378574277956,0.004549663786582,0.00645048512190921,0.009389253065058,0.00250901347951615,0.00131637673260249,0.00434038658864968,0.00648842173915102,0.0065417431995736,0.0351411320164186,0.00179142891791732
1990,0.00137093655974346,0.000401132905794932,0.00381049436343637,0.0163907281647491,0.0152690042521757,0.00735722308453434,0.00883250569922146,0.0499820498334698,0.160817974817951,0.00437733459225308,0.00964989800821531,0.0438280734879981,0.00229406044689028,0.0610122179783463,0.0013021575315668,0.00786726280768936,0.00687819769826895,0.00622647354227539,0.00347078879631154,0.00509528512258793,0.0083438701094408,0.0460343946657716,0.0185892371614138,0.0121226363066454,0.0137386024110511,0.000466953087199893,0.00491243405581694,0.0114498797593522,0.0150913049843353,0.0852611792139413,0.00409964110354688,0.00523237732454939,0.00699869811807257,0.00936245616608686,0.0138530624410476,0.00256997679160837,0.0131961178927053,0.00381236237496408,0.0107331545873473,0.0174147506427592,0.0096617588136417,0.00750541226665742,0.0029159535656825,0.0160878124311442,0.0135745005066188,0.0207330217886025,0.000646360572315817,0.0063954859699869,0.0126274837767887,0.028195742111037,0.0160795246194485,0.00381344142613891,0.00378865707188664,0.00231115737254723,0.00392035701561317,0.000568012508242791,0.0241204172712503,0.00500084164176424,0.0109822416275459,0.00529022069605488,0.00353946523625155,0.00245479444636728,0.00521532805778134,0.0025212215439302,0.0013710706986363,0.00969641907236038,0.00879357044931101,0.0101734127177351,0.0405647730927889,0.00193465274073477
1991,0.00249223476736325,0.000512346104891596,0.0128503037536832,0.033919662563914,0.00746540488463165,0.0188048446719859,0.00678257412009131,0.0291075797431814,0.100823840445115,0.0059000136662213,0.0134344640335365,0.0394757030158602,0.00425364857862292,0.0406944246670764,0.00171238971377921,0.00391052459859237,0.00948563491232837,0.0044135677186422,0.00988667751145365,0.00808379736841737,0.0194029056253276,0.0135468894258209,0.00228505888720967,0.00696848363818607,0.029980287246339,0.00135884398194988,0.00266757142472226,0.0103634713805894,0.028984837816169,0.00541576252233421,0.00812642993666457,0.00450042541892997,0.0148121848679021,0.00735342763990293,0.0410965284254427,0.00485972010195401,0.0328794532084561,0.0296052745433932,0.00936645175216731,0.0236421929576707,0.00687439191976168,0.0100858729039555,0.00579546505104906,0.0340726402775878,0.00998535481914508,0.0205429722628187,0.00127119576862981,0.0216610062633596,0.00614840789639518,0.0225451631848393,0.0130154479522096,0.0219574534685066,0.00513424503485994,0.00338281604131731,0.00964493415151662,0.000359453963326372,0.0428330239589029,0.00481656230417959,0.00665715045421165,0.00302465482721932,0.00500723819491736,0.00348439771048606,0.0052278886570487,0.00455283519001318,0.00266354674022728,0.00762727025756638,0.00944143103031351,0.0233436232243356,0.0337134306799593,0.00390428817082155
1992,0.00226658652936026,0.000646562624365111,0.0193241156784156,0.0379773528017479,0.0150842089565383,0.00760211718868988,0.00216794178897993,0.0363735003183158,0.0194851896750886,0.00389357558547171,0.013482222343307,0.0317961426314072,0.00332276982828864,0.0611736748957169,0.000925989275060212,0.0107200411529222,0.0042726773138005,0.0031780545692518,0.0117894475955038,0.0155948602560284,0.0236393088746544,0.0258881081071459,0.00500787412434711,0.0340914382694696,0.0564380236445585,0.000871698903178007,0.00152914391503565,0.0224122904012089,0.0198236921158342,0.00714619133462194,0.00866374922660008,0.00422538856585512,0.0193873438828978,0.00824455112269943,0.0275761642011203,0.005106435994446,0.0337544148997983,0.0193194001292249,0.0111661858029885,0.0246315316021498,0.00531837896901647,0.0192410535993093,0.00811484414378387,0.0112319917939097,0.0217896334879307,0.0148794433325513,0.00211701947240687,0.00938946831118624,0.0182270112726013,0.0170878038428463,0.0506902560405513,0.00419205631514145,0.000790327144492579,0.00497583038758935,0.00727617675311481,0.00145611347725265,0.0397056997309277,0.0071591528728452,0.0042747866908969,0.00675866072426972,0.0129671650875809,0.00425496048034995,0.00864424803320454,0.00309040433615981,0.00165331966078196,0.00503650755991794,0.0115285004424498,0.00509477878789498,0.0307256302546547,0.00232881086828741
1993,0.000961728685726594,0.000337905006572248,0.0118290606706999,0.029776023970891,0.0162648858870342,0.0442542186612665,0.0026457177489171,0.0392929246475839,0.0355267548486383,0.00394813717647677,0.0181265714417145,0.0167531023957106,0.00373525255080885,0.0462141239812988,0.00554878602022887,0.00765800643920808,0.00840380373547962,0.00279563842169314,0.00525481138089365,0.0080889232634953,0.00934811697205918,0.0525818247202205,0.00269386177125756,0.0357263051004112,0.0219012329160588,0.00130705469438596,0.00412694150181248,0.0208781735108725,0.0247685997264245,0.0284908956964268,0.00971874682386683,0.00149204225630568,0.0105820348992457,0.015994766130476,0.0309845246478327,0.00282925131738238,0.017999888298815,0.00587919552361667,0.00741983505187863,0.0248670727651372,0.00419426638296821,0.0054871996705457,0.00557726946384667,0.0292519400382584,0.0277879869363743,0.00731953367283668,0.0021817164587048,0.00648803658083918,0.00972868389726439,0.00388956245877498,0.0117365727481316,0.00239998445531056,0.00349379075006755,0.0059927178293434,0.0173646304706043,0.00101215845684181,0.0296048572124196,0.0086469394864766,0.00581150058472658,0.00506028530147107,0.00140241606368327,0.000942953788503684,0.0266010598860863,0.00212341824786244,0.00135900207813003,0.00371489919003056,0.00559688434981513,0.097938202851692,0.0271806865106834,0.00310410291888262
